config_id,framework,backend,case_id,category,batch_index,request_index,profile,status,elapsed_ms,ttft_ms,mean_itl_ms,p50_itl_ms,p95_itl_ms,prompt_tokens,completion_tokens,completion_units,tok_per_s,error
vllm_flashinfer_batch8192,vllm,flashinfer,prefill_heavy_c4_4k_each,prefill_pressure,3,3,long4k,ok,4710,2309.7825050354004,18.89619677085576,18.958091735839844,19.248485565185547,0,0,128,27.176220806794056,
vllm_flashinfer_batch8192,vllm,flashinfer,prefill_heavy_c4_4k_each,prefill_pressure,3,4,long4k,ok,4709,2309.527635574341,18.896932677021177,18.979549407958984,19.343852996826172,0,0,128,27.181991930346147,
vllm_flashinfer_batch8192,vllm,flashinfer,prefill_heavy_c4_4k_each,prefill_pressure,4,1,long4k,ok,4672,1551.3083934783936,24.57504572830801,18.973827362060547,19.242286682128906,0,0,128,27.397260273972606,
vllm_flashinfer_batch8192,vllm,flashinfer,prefill_heavy_c4_4k_each,prefill_pressure,4,2,long4k,ok,4690,2226.104497909546,19.39989638140821,18.97740364074707,19.220829010009766,0,0,128,27.292110874200425,
vllm_flashinfer_batch8192,vllm,flashinfer,prefill_heavy_c4_4k_each,prefill_pressure,4,3,long4k,ok,4701,2301.197290420532,18.90189628901444,18.965721130371094,19.182682037353516,0,0,128,27.228249308657734,
vllm_flashinfer_batch8192,vllm,flashinfer,prefill_heavy_c4_4k_each,prefill_pressure,4,4,long4k,ok,4689,2225.6643772125244,19.398830068393018,18.973588943481445,19.2873477935791,0,0,128,27.2979313286415,
vllm_flashinfer_batch8192,vllm,flashinfer,prefill_heavy_c4_4k_each,prefill_pressure,5,1,long4k,ok,4671,1550.3084659576416,24.577687105794592,18.962621688842773,19.206523895263672,0,0,128,27.40312566902162,
vllm_flashinfer_batch8192,vllm,flashinfer,prefill_heavy_c4_4k_each,prefill_pressure,5,2,long4k,ok,4700,2300.45485496521,18.901490789698805,18.97120475769043,19.22750473022461,0,0,128,27.23404255319149,
vllm_flashinfer_batch8192,vllm,flashinfer,prefill_heavy_c4_4k_each,prefill_pressure,5,3,long4k,ok,4688,2224.710464477539,19.401233027300496,18.964052200317383,19.222497940063477,0,0,128,27.303754266211605,
vllm_flashinfer_batch8192,vllm,flashinfer,prefill_heavy_c4_4k_each,prefill_pressure,5,4,long4k,ok,4689,2224.461793899536,19.401908859493226,18.964767456054688,19.20008659362793,0,0,128,27.2979313286415,
