config_id,framework,backend,label,case_id,concurrency,prompt_tokens,max_tokens,batch_index,request_index,elapsed_ms,completion_tokens,total_tokens,tok_per_s,status,error
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c8_1k_each,8,2189,256,4,3,7334,256,2445,34.9059,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c8_1k_each,8,2189,256,4,4,7353,256,2445,34.8157,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c8_1k_each,8,2189,256,4,5,7352,256,2445,34.8205,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c8_1k_each,8,2189,256,4,6,7369,256,2445,34.7401,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c8_1k_each,8,2189,256,4,7,7369,256,2445,34.7401,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c8_1k_each,8,2189,256,4,8,7381,256,2445,34.6836,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c8_1k_each,8,2189,256,5,1,7304,256,2445,35.0493,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c8_1k_each,8,2189,256,5,2,7323,256,2445,34.9584,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c8_1k_each,8,2189,256,5,3,7323,256,2445,34.9584,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c8_1k_each,8,2189,256,5,4,7359,256,2445,34.7873,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c8_1k_each,8,2189,256,5,5,7341,256,2445,34.8726,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c8_1k_each,8,2189,256,5,6,7341,256,2445,34.8726,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c8_1k_each,8,2189,256,5,7,7358,256,2445,34.7921,ok,
vllm_flash_attn,vllm,flash_attn,vLLM flash_attn,c8_1k_each,8,2189,256,5,8,7370,256,2445,34.7354,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c1_limit_8k,1,7395,512,1,1,9705,512,7907,52.7563,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c1_limit_8k,1,7395,512,2,1,9707,512,7907,52.7454,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c1_limit_8k,1,7395,512,3,1,9710,512,7907,52.7291,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c1_limit_8k,1,7395,512,4,1,9710,512,7907,52.7291,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c1_limit_8k,1,7395,512,5,1,9710,512,7907,52.7291,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c2_4k_each,2,7395,512,1,1,11317,512,7907,45.2417,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c2_4k_each,2,7395,512,1,2,11346,512,7907,45.1260,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c2_4k_each,2,7395,512,2,1,11316,512,7907,45.2457,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c2_4k_each,2,7395,512,2,2,11345,512,7907,45.1300,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c2_4k_each,2,7395,512,3,1,11314,512,7907,45.2537,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c2_4k_each,2,7395,512,3,2,11343,512,7907,45.1380,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c2_4k_each,2,7395,512,4,1,11346,512,7907,45.1260,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c2_4k_each,2,7395,512,4,2,11316,512,7907,45.2457,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c2_4k_each,2,7395,512,5,1,11314,512,7907,45.2537,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c2_4k_each,2,7395,512,5,2,11344,512,7907,45.1340,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c4_2k_each,4,4323,512,1,1,11978,512,4835,42.7450,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c4_2k_each,4,4323,512,1,2,11960,512,4835,42.8094,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c4_2k_each,4,4323,512,1,3,12007,512,4835,42.6418,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c4_2k_each,4,4323,512,1,4,11994,512,4835,42.6880,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c4_2k_each,4,4323,512,2,1,11954,512,4835,42.8309,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c4_2k_each,4,4323,512,2,2,11972,512,4835,42.7665,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c4_2k_each,4,4323,512,2,3,11989,512,4835,42.7058,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c4_2k_each,4,4323,512,2,4,12001,512,4835,42.6631,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c4_2k_each,4,4323,512,3,1,11960,512,4835,42.8094,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c4_2k_each,4,4323,512,3,2,11995,512,4835,42.6845,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c4_2k_each,4,4323,512,3,3,11978,512,4835,42.7450,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c4_2k_each,4,4323,512,3,4,12007,512,4835,42.6418,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c4_2k_each,4,4323,512,4,1,11960,512,4835,42.8094,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c4_2k_each,4,4323,512,4,2,12008,512,4835,42.6382,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c4_2k_each,4,4323,512,4,3,11996,512,4835,42.6809,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c4_2k_each,4,4323,512,4,4,11977,512,4835,42.7486,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c4_2k_each,4,4323,512,5,1,11994,512,4835,42.6880,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c4_2k_each,4,4323,512,5,2,12023,512,4835,42.5850,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c4_2k_each,4,4323,512,5,3,11975,512,4835,42.7557,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c4_2k_each,4,4323,512,5,4,12010,512,4835,42.6311,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,1,1,7265,256,2445,35.2374,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,1,2,7284,256,2445,35.1455,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,1,3,7284,256,2445,35.1455,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,1,4,7302,256,2445,35.0589,ok,
vllm_flashinfer,vllm,flashinfer,vLLM flashinfer,c8_1k_each,8,2189,256,1,5,7302,256,2445,35.0589,ok,
